Gene Symbol	OQL Line	Num Samples Altered	Percent Samples Altered
AGO1	AGO1: MUT AMP HOMDEL;	5	1.4%
ELAVL1	ELAVL1: MUT AMP HOMDEL;	5	1.4%
AK2	AK2: MUT AMP HOMDEL;	5	1.4%
AMPD1	AMPD1: MUT AMP HOMDEL;	5	1.4%
ARPC2	ARPC2: MUT AMP HOMDEL;	5	1.4%
ARPC4	ARPC4: MUT AMP HOMDEL;	5	1.4%
DNM2	DNM2: MUT AMP HOMDEL;	5	1.4%
FCHO2	FCHO2: MUT AMP HOMDEL;	5	1.4%
EEF2	EEF2: MUT AMP HOMDEL;	5	1.4%
EIF2S3	EIF2S3: MUT AMP HOMDEL;	5	1.4%
EIF3B	EIF3B: MUT AMP HOMDEL;	5	1.4%
ELP1	ELP1: MUT AMP HOMDEL;	5	1.4%
HDAC10	HDAC10: MUT AMP HOMDEL;	5	1.4%
BMI1	BMI1: MUT AMP HOMDEL;	5	1.4%
CDC34	CDC34: MUT AMP HOMDEL;	5	1.4%
COPG1	COPG1: MUT AMP HOMDEL;	5	1.4%
EXOSC2	EXOSC2: MUT AMP HOMDEL;	5	1.4%
GATA1	GATA1: MUT AMP HOMDEL;	5	1.4%
ASB11	ASB11: MUT AMP HOMDEL;	5	1.4%
ASB9	ASB9: MUT AMP HOMDEL;	5	1.4%
EIF3D	EIF3D: MUT AMP HOMDEL;	5	1.4%
ETF1	ETF1: MUT AMP HOMDEL;	5	1.4%
CKAP5	CKAP5: MUT AMP HOMDEL;	5	1.4%
AXL	AXL: MUT AMP HOMDEL;	5	1.4%
DCUN1D5	DCUN1D5: MUT AMP HOMDEL;	5	1.4%
DNAJC8	DNAJC8: MUT AMP HOMDEL;	5	1.4%
FBXL5	FBXL5: MUT AMP HOMDEL;	5	1.4%
CENPC	CENPC: MUT AMP HOMDEL;	5	1.4%
GNL3	GNL3: MUT AMP HOMDEL;	5	1.4%
ASB12	ASB12: MUT AMP HOMDEL;	5	1.4%
G3BP1	G3BP1: MUT AMP HOMDEL;	5	1.4%
HAUS3	HAUS3: MUT AMP HOMDEL;	5	1.4%
EXOSC8	EXOSC8: MUT AMP HOMDEL;	5	1.4%
CLIP1	CLIP1: MUT AMP HOMDEL;	5	1.4%
DNAJB12	DNAJB12: MUT AMP HOMDEL;	5	1.4%
ASB2	ASB2: MUT AMP HOMDEL;	5	1.4%
CHCHD1	CHCHD1: MUT AMP HOMDEL;	5	1.4%
