Gene Symbol	OQL Line	Num Samples Altered	Percent Samples Altered
ERAL1	ERAL1: MUT AMP HOMDEL EXP>=2 EXP<=-2 PROT>=2 PROT<=-2;	20	4%
H2AZ2	H2AZ2: MUT AMP HOMDEL EXP>=2 EXP<=-2 PROT>=2 PROT<=-2;	20	4%
AJUBA	AJUBA: MUT AMP HOMDEL EXP>=2 EXP<=-2 PROT>=2 PROT<=-2;	20	4%
HAUS4	HAUS4: MUT AMP HOMDEL EXP>=2 EXP<=-2 PROT>=2 PROT<=-2;	20	4%
DIAPH2	DIAPH2: MUT AMP HOMDEL EXP>=2 EXP<=-2 PROT>=2 PROT<=-2;	20	4%
ASB4	ASB4: MUT AMP HOMDEL EXP>=2 EXP<=-2 PROT>=2 PROT<=-2;	20	4%
HDAC4	HDAC4: MUT AMP HOMDEL EXP>=2 EXP<=-2 PROT>=2 PROT<=-2;	19	4%
AMPD1	AMPD1: MUT AMP HOMDEL EXP>=2 EXP<=-2 PROT>=2 PROT<=-2;	19	4%
BIRC3	BIRC3: MUT AMP HOMDEL EXP>=2 EXP<=-2 PROT>=2 PROT<=-2;	19	4%
CCNB1	CCNB1: MUT AMP HOMDEL EXP>=2 EXP<=-2 PROT>=2 PROT<=-2;	19	4%
CKAP5	CKAP5: MUT AMP HOMDEL EXP>=2 EXP<=-2 PROT>=2 PROT<=-2;	19	4%
HAUS2	HAUS2: MUT AMP HOMDEL EXP>=2 EXP<=-2 PROT>=2 PROT<=-2;	19	4%
CALD1	CALD1: MUT AMP HOMDEL EXP>=2 EXP<=-2 PROT>=2 PROT<=-2;	19	4%
GPRC5A	GPRC5A: MUT AMP HOMDEL EXP>=2 EXP<=-2 PROT>=2 PROT<=-2;	19	4%
DDX47	DDX47: MUT AMP HOMDEL EXP>=2 EXP<=-2 PROT>=2 PROT<=-2;	19	4%
DCUN1D2	DCUN1D2: MUT AMP HOMDEL EXP>=2 EXP<=-2 PROT>=2 PROT<=-2;	19	4%
CENPX	CENPX: MUT AMP HOMDEL EXP>=2 EXP<=-2 PROT>=2 PROT<=-2;	19	4%
EIF4A3	EIF4A3: MUT AMP HOMDEL EXP>=2 EXP<=-2 PROT>=2 PROT<=-2;	18	3%
H4-16	H4-16: MUT AMP HOMDEL EXP>=2 EXP<=-2 PROT>=2 PROT<=-2;	18	3%
GRIA1	GRIA1: MUT AMP HOMDEL EXP>=2 EXP<=-2 PROT>=2 PROT<=-2;	18	3%
COPS7A	COPS7A: MUT AMP HOMDEL EXP>=2 EXP<=-2 PROT>=2 PROT<=-2;	18	3%
GABARAPL1	GABARAPL1: MUT AMP HOMDEL EXP>=2 EXP<=-2 PROT>=2 PROT<=-2;	18	3%
H2AJ	H2AJ: MUT AMP HOMDEL EXP>=2 EXP<=-2 PROT>=2 PROT<=-2;	18	3%
CRNKL1	CRNKL1: MUT AMP HOMDEL EXP>=2 EXP<=-2 PROT>=2 PROT<=-2;	18	3%
HAUS6	HAUS6: MUT AMP HOMDEL EXP>=2 EXP<=-2 PROT>=2 PROT<=-2;	18	3%
COMMD2	COMMD2: MUT AMP HOMDEL EXP>=2 EXP<=-2 PROT>=2 PROT<=-2;	18	3%
ERCC5	ERCC5: MUT AMP HOMDEL EXP>=2 EXP<=-2 PROT>=2 PROT<=-2;	18	3%
GRIK5	GRIK5: MUT AMP HOMDEL EXP>=2 EXP<=-2 PROT>=2 PROT<=-2;	18	3%
DDX20	DDX20: MUT AMP HOMDEL EXP>=2 EXP<=-2 PROT>=2 PROT<=-2;	17	3%
GEMIN7	GEMIN7: MUT AMP HOMDEL EXP>=2 EXP<=-2 PROT>=2 PROT<=-2;	17	3%
FBL	FBL: MUT AMP HOMDEL EXP>=2 EXP<=-2 PROT>=2 PROT<=-2;	17	3%
H2AC6	H2AC6: MUT AMP HOMDEL EXP>=2 EXP<=-2 PROT>=2 PROT<=-2;	17	3%
BCAS2	BCAS2: MUT AMP HOMDEL EXP>=2 EXP<=-2 PROT>=2 PROT<=-2;	17	3%
BUD13	BUD13: MUT AMP HOMDEL EXP>=2 EXP<=-2 PROT>=2 PROT<=-2;	17	3%
H3C8	H3C8: MUT AMP HOMDEL EXP>=2 EXP<=-2 PROT>=2 PROT<=-2;	17	3%
FOLR1	FOLR1: MUT AMP HOMDEL EXP>=2 EXP<=-2 PROT>=2 PROT<=-2;	17	3%
CENPU	CENPU: MUT AMP HOMDEL EXP>=2 EXP<=-2 PROT>=2 PROT<=-2;	17	3%
